Capacity(mAh),Config (s),Discharge (c),Height-B(mm),Length-A(mm),Max Charge Rate (C),Weight (g),Width-C(mm),description
8000.0,2.0,30.0,69.0,166.0,5.0,415.0,15.0,ZIPPY Flightmax 8000mAh 2S1P 30C
8000.0,3.0,30.0,69.0,169.0,5.0,644.0,27.0,ZIPPY Flightmax 8000mAh 3S1P 30C
8000.0,4.0,30.0,69.0,166.0,5.0,845.0,35.0,ZIPPY Flightmax 8000mAh 4S1P 30C
8000.0,5.0,30.0,69.0,170.0,5.0,1054.0,44.0,ZIPPY Flightmax 8000mAh 5S1P 30C
8000.0,6.0,30.0,69.0,165.0,5.0,1220.0,52.0,ZIPPY Flightmax 8000mAh 6S1P 30C 
2000.0,2.0,45.0,36.0,102.0,2.0,136.0,16.0,ZIPPY Flightmax 2000mAh 2S1P 45C
2000.0,4.0,45.0,36.0,103.0,2.0,250.0,32.0,ZIPPY Flightmax 2000mAh 4S1P 45C
2000.0,5.0,45.0,36.0,105.0,2.0,306.0,39.0,ZIPPY Flightmax 2000mAh 5S1P 45C
2200.0,2.0,45.0,37.0,101.0,2.0,148.0,18.0,ZIPPY Flightmax 2200mAh 2S1P 45C
2200.0,3.0,45.0,37.0,105.0,4.0,214.0,27.0,ZIPPY Flightmax 2200mAh 3S1P 45C
2200.0,4.0,45.0,37.0,105.0,2.0,279.0,37.0,ZIPPY Flightmax 2200mAh 4S1P 45C
2200.0,5.0,45.0,36.0,107.0,2.0,341.0,44.0,ZIPPY Flightmax 2200mAh 5S1P 45C
2650.0,3.0,45.0,44.0,136.0,2.0,249.0,18.0,ZIPPY Flightmax 2650mAh 3S1P 45C
2650.0,4.0,45.0,45.0,137.0,2.0,329.0,25.0,ZIPPY Flightmax 2650mAh 4S1P 45C
2650.0,5.0,45.0,45.0,139.0,2.0,410.0,32.0,ZIPPY Flightmax 2650mAh 5S1P 45C
2650.0,6.0,45.0,45.0,137.0,2.0,484.0,37.0,ZIPPY Flightmax 2650mAh 6S1P 45C
4000.0,3.0,45.0,53.0,148.0,2.0,372.0,23.0,ZIPPY Flightmax 4000mAh 3S1P 45C
4000.0,4.0,45.0,53.0,145.0,2.0,493.0,31.0,ZIPPY Flightmax 4000mAh 4S1P 45C
4000.0,5.0,45.0,53.0,146.0,2.0,601.0,39.0,ZIPPY Flightmax 4000mAh 5S1P 45C
4000.0,6.0,45.0,53.0,145.0,2.0,730.0,46.0,ZIPPY Flightmax 4000mAh 6S1P 45C
4500.0,3.0,45.0,52.0,146.0,2.0,403.0,25.0,ZIPPY Flightmax 4500mAh 3S1P 45C
4500.0,4.0,45.0,52.0,146.0,2.0,527.0,34.0,ZIPPY Flightmax 4500mAh 4S1P 45C
4500.0,5.0,45.0,52.0,145.0,2.0,653.0,42.0,ZIPPY Flightmax 4500mAh 5S1P 45C
4500.0,6.0,45.0,53.0,145.0,2.0,789.0,50.0,ZIPPY Flightmax 4500mAh 6S1P 45C
5000.0,2.0,2.0,52.0,143.0,2.0,308.0,19.0,ZIPPY Flightmax 5000mAh 2S1P 45C
5000.0,3.0,45.0,52.0,145.0,2.0,462.0,28.0,ZIPPY Flightmax 5000mAh 3S1P 45C
5000.0,4.0,45.0,52.0,142.0,2.0,596.0,8.0,ZIPPY Flightmax 5000mAh 4S1P 45C
5000.0,5.0,45.0,52.0,148.0,2.0,732.0,47.0,ZIPPY Flightmax 5000mAh 5S1P 45C
5000.0,6.0,45.0,52.0,144.0,2.0,888.0,58.0,ZIPPY Flightmax 5000mAh 6S1P 45C
2650.0,3.0,1.0,30.0,98.0,1.0,157.0,27.0,Turnigy 2650mAh 3S 1C LLF Tx Pack (Futaba/JR)
1600.0,2.0,20.0,43.0,69.0,4.0,92.0,16.0,Turnigy 1600mAh 2S 20C Losi Mini SCT Pack
3300.0,2.0,35.0,43.0,132.0,8.0,191.0,15.0,Turnigy nano-tech 3300mah 2S 35~70C Lipo Pack
3300.0,6.0,35.0,44.0,136.0,8.0,522.0,43.0,Turnigy nano-tech 3300mah 6S 35~70C Lipo Pack
4000.0,2.0,35.0,49.0,152.0,8.0,234.0,14.0,Turnigy nano-tech 4000mah 2S 35~70C Lipo Pack
4000.0,3.0,35.0,49.0,152.0,8.0,335.0,21.0,Turnigy nano-tech 4000mah 3S 35~70C Lipo Pack
4000.0,4.0,35.0,49.0,155.0,8.0,427.0,27.0,Turnigy nano-tech 4000mah 4S 35~70C Lipo Pack
4000.0,5.0,35.0,49.0,154.0,8.0,537.0,34.0,Turnigy nano-tech 4000mah 5S 35~70C Lipo Pack
4000.0,6.0,35.0,49.0,153.0,8.0,630.0,39.0,Turnigy nano-tech 4000mah 6S 35~70C Lipo Pack
4000.0,10.0,35.0,52.0,302.0,8.0,1068.0,33.0,Turnigy nano-tech 4000mah 10S 35~70C Lipo Pack
4500.0,2.0,35.0,49.0,152.0,8.0,260.0,15.0,Turnigy nano-tech 4500mah 2S 35~70C Lipo Pack
4500.0,3.0,35.0,49.0,151.0,8.0,372.0,23.0,Turnigy nano-tech 4500mah 3S 35~70C Lipo Pack
4500.0,4.0,35.0,49.0,153.0,8.0,485.0,30.0,Turnigy nano-tech 4500mah 4S 35~70C Lipo Pack
4500.0,5.0,35.0,49.0,154.0,8.0,574.0,34.0,Turnigy nano-tech 4500mah 5S 35~70C Lipo Pack
4500.0,6.0,35.0,49.0,155.0,8.0,738.0,48.0,Turnigy nano-tech 4500mah 6S 35~70C Lipo Pack
4500.0,10.0,35.0,49.0,304.0,8.0,1227.0,37.0,Turnigy nano-tech 4500mah 10S 35~70C Lipo Pack
5000.0,2.0,35.0,49.0,150.0,8.0,286.0,17.0,Turnigy nano-tech 5000mah 2S 35~70C Lipo Pack
5000.0,3.0,35.0,49.0,150.0,8.0,409.0,26.0,Turnigy nano-tech 5000mah 3S 35~70C Lipo Pack
5000.0,4.0,35.0,50.0,154.0,8.0,531.0,33.0,Turnigy nano-tech 5000mah 4S 35~70C Lipo Pack
5000.0,5.0,35.0,49.0,154.0,8.0,659.0,41.0,Turnigy nano-tech 5000mah 5S 35~70C Lipo Pack
5000.0,6.0,35.0,50.0,154.0,8.0,786.0,49.0,Turnigy nano-tech 5000mah 6S 35~70C Lipo Pack
2650.0,6.0,45.0,44.0,135.0,10.0,427.0,33.0,Turnigy nano-tech 2650mah 6S 45~90C Lipo Pack
3300.0,2.0,45.0,44.0,133.0,10.0,209.0,16.0,Turnigy nano-tech 3300mah 2S 45~90C Lipo Pack
3300.0,6.0,45.0,45.0,135.0,10.0,565.0,44.0,Turnigy nano-tech 3300mah 6S 45~90C Lipo Pack
4000.0,2.0,45.0,48.0,152.0,10.0,254.0,15.0,Turnigy nano-tech 4000mah 2S 45~90C Lipo Pack
4500.0,2.0,45.0,49.0,154.0,10.0,273.0,16.0,Turnigy nano-tech 4500mah 2S 45~90C Lipo Pack
5000.0,2.0,45.0,49.0,152.0,10.0,279.0,17.0,Turnigy nano-tech 5000mah 2S 45~90C Lipo Pack
6000.0,2.0,65.0,46.0,138.0,10.0,313.0,25.0,Turnigy nano-tech 6000mah 2S2P 65~130C Hardcase Lipo Pack
5100.0,2.0,65.0,47.0,69.0,10.0,290.0,25.0,Turnigy nano-tech 5100mah 2S3P 65~135C Hardcase Lipo Saddle Pack
5600.0,1.0,65.0,47.0,93.0,10.0,152.0,19.0,Turnigy nano-tech 5600mah 1S2P 65~130C Hardcase Lipo Pack (ROAR APPROVED)
5600.0,2.0,50.0,47.0,138.0,8.0,294.0,25.0,Turnigy nano-tech 5600mah 2S2P 50~100C Hardcase Lipo Pack (ROAR APPROVED)
5300.0,2.0,50.0,47.0,138.0,8.0,295.0,25.0,Turnigy nano-tech 5300mah 2S2P 50~100C Hardcase Lipo Pack
4850.0,2.0,50.0,47.0,69.0,8.0,290.0,25.0,Turnigy nano-tech 4850mah 2S3P 50~100C Hardcase Lipo Saddle Pack (ROAR APPROVED)
5000.0,1.0,50.0,47.0,93.0,8.0,148.0,19.0,Turnigy nano-tech 5000mah 1S2P 50~100C Hardcase Lipo Pack (ROAR APPROVED)
5800.0,2.0,30.0,46.0,138.0,5.0,296.0,25.0,Turnigy nano-tech 5800mah 2S2P 30~60C Hardcase Lipo Pack (ROAR APPROVED)
5300.0,2.0,30.0,46.0,138.0,5.0,271.0,25.0,Turnigy nano-tech 5300mah 2S2P 30~60C Hardcase Lipo Pack (ROAR APPROVED)
